text,class
Ok...,ham
Where @,ham
Yupz... I've oredi booked slots 4 my weekends liao...,ham
Kay... Since we are out already,ham
Sorry me going home first... Daddy come fetch Ì_ later...,ham
Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,ham
"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer...",ham
Ugh hopefully the asus ppl dont randomly do a reformat.,ham
"I think I‰Û÷m waiting for the same bus! Inform me when you get there, if you ever get there.",ham
"Since when, which side, any fever, any vomitin.",ham
"Ela kano.,il download, come wen ur free..",ham
Hasn't that been the pattern recently crap weekends?,ham
Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one Ì_ cut ur hair.,ham
"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know.",ham
"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",ham
Thanx...,ham
K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,ham
Dunno lei... I might b eatin wif my frens... If Ì_ wan to eat then i wait 4 Ì_ lar,ham
Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx,ham
Don no da:)whats you plan?,ham
;-) ok. I feel like john lennon.,ham
here is my new address -apples&pairs&all that malarky,ham
"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu",ham
Hey... are you going to quit soon? Xuhui and i working till end of the month,ham
My friends use to call the same.,ham
But pls dont play in others life.,ham
Lol they don't know about my awesome phone. I could click delete right now if I want.,ham
"K, want us to come by now?",ham
"Theoretically yeah, he could be able to come",ham
Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?,ham
"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The \sleep on a couch\"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?""",ham
"Haha just kidding, papa needs drugs",ham
He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him,ham
"Well, i'm gonna finish my bath now. Have a good...fine night.",ham
That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?,ham
Yup i'm free...,ham
Ya! when are Ì_ taking ure practical lessons? I start in june..,ham
Give one miss from that number please,ham
Are you this much buzy,ham
Do you know where my lab goggles went,ham
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,ham
Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..,ham
Great. So should i send you my account number.,ham
I think that tantrum's finished so yeah I'll be by at some point,ham
Short But Cute: \Be a good person,ham
Just come home. I don't want u to be miserable,ham
There the size of elephant tablets & u shove um up ur ass!!,ham
My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,ham
Hi. I'm always online on yahoo and would like to chat with you someday,ham
U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.,ham
"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",ham
tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?,ham
"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",ham
The battery is for mr adewale my uncle. Aka Egbon,ham
No but the bluray player can,ham
If india win or level series means this is record:),ham
"Hi, my love! How goes that day? Fuck, this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !",ham
"Its good, we'll find a way",ham
U attend ur driving lesson how many times a wk n which day?,ham
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,ham
Stupid auto correct on my phone,ham
Can you plz tell me the ans. BSLVYL sent via fullonsms.com,ham
They said Ì_ dun haf passport or smth like dat.. Or Ì_ juz send to my email account..,ham
Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?,ham
I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(,ham
Ugh. Gotta drive back to sd from la. My butt is sore.,ham
S'fine. Anytime. All the best with it.,ham
I'll pick you up at about 5.15pm to go to taunton if you still want to come.,ham
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ham
U r too much close to my heart. If u go away i will be shattered. Plz stay with me.,ham
Yunny i'm walking in citylink now Ì_ faster come down... Me very hungry...,ham
"Since when, which side, any fever, any vomitin.",ham
You are a big chic. Common. Declare,ham
Ok,ham
Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,ham
Hi. Hope you had a good day. Have a better night.,ham
Is toshiba portege m100 gd?,ham
Easy ah?sen got selected means its good..,ham
Howz that persons story,ham
I am not sure about night menu. . . I know only about noon menu,ham
"\Gimme a few\"" was  &lt;#&gt;  minutes ago""",ham
It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,ham
"Me not waking up until 4 in the afternoon, sup",ham
It only does simple arithmetic not percentages.,ham
"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?",ham
Hello! Good week? Fancy a drink or something later?,ham
I was about to do it when i texted. I finished a long time ago and showered and er'ything!,ham
Ha ha - had popped down to the loo when you hello-ed me. Hello!,ham
Are you staying in town ?,ham
In fact when do you leave? I think addie goes back to school tues or wed,ham
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",ham
Why didn't u call on your lunch?,ham
Ok lor... But buy wat?,ham
My sister going to earn more than me da.,ham
K.k:)apo k.good movie.,ham
Meeting u is my work. . . Tel me when shall i do my work tomorrow,ham
Captain vijaykanth is doing comedy in captain tv..he is drunken :),ham
"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",ham
Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.,ham
Let me know when you've got the money so carlos can make the call,ham
Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,ham
Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,ham
"Aight that'll work, thanks",ham
I'm at work. Please call,ham
Now got tv 2 watch meh? U no work today?,ham
If he started searching he will get job in few days.he have great potential and talent.,ham
Hope you are feeling great. Pls fill me in. Abiola,ham
Ok... The theory test? when are Ì_ going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free,ham
Easy ah?sen got selected means its good..,ham
Where are you ? You said you would be here when I woke ... :-(,ham
We have to pick rayan macleran there.,ham
Well i know Z will take care of me. So no worries.,ham
You sure your neighbors didnt pick it up,ham
On the way to office da..,ham
What happened to our yo date?,ham
Do you know when dad will be back?,ham
HELLO PEACH! MY CAKE TASTS LUSH!,ham
You could have seen me..i did't recognise you Face.:),ham
Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing,ham
"Vikky, come around  &lt;TIME&gt; ..",ham
I'm at home. Please call,ham
May b approve panalam...but it should have more posts..,ham
Just hopeing that wasn‰Û÷t too pissed up to remember and has gone off to his sisters or something!,ham
Where are you ? What are you doing ? Are yuou working on getting the pc to your mom's ? Did you find a spot that it would work ? I need you,ham
"awesome, how do I deal with the gate? Charles told me last night but, uh, yeah",ham
Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired,ham
We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,ham
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,ham
Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.,ham
"I prefer my free days... Tues, wed, fri oso can... ÌÏ ask those workin lor...",ham
WHO ARE YOU SEEING?,ham
Where @,ham
HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG,ham
Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if Ì_ leaving earlier or wat mah cos mayb Ì_ haf to walk v far...,ham
"Superb Thought- \Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.\"":-)""",ham
Good morning princess! How are you?,ham
U coming 2 pick me?,ham
Cos daddy arranging time c wat time fetch Ì_ mah...,ham
ÌÏ come lt 25 n pass to me lar,ham
"I've got ten bucks, jay is being noncomittal",ham
"Ok., is any problem to u frm him? Wats matter?",ham
"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONåÕT LIKE ME LIKE THAT SO DONåÕT WORRY.",ham
"Ask g or iouri, I've told the story like ten times already",ham
You should change your fb to jaykwon thuglyfe falconerf,ham
"Haha, just what I was thinkin",ham
"Like  &lt;#&gt; , same question",ham
ÌÏ still got lessons?  ÌÏ in sch?,ham
"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",ham
"That's cool, I'll come by like  &lt;#&gt; ish",ham
And you! Will expect you whenever you text! Hope all goes well tomo,ham
"Will do, you gonna be at blake's all night? I might be able to get out of here a little early",ham
All e best 4 ur driving tmr :-),ham
I told her I had a Dr appt next week. She thinks I'm gonna die. I told her its just a check. Nothing to be worried about. But she didn't listen.,ham
I finished my lunch already. U wake up already?,ham
I wanted to ask Ì_ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,ham
I'll meet you in the lobby,ham
"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?",ham
Ic. There are a lotta childporn cars then.,ham
Hi my email address has changed now it is,ham
Also remember the beads don't come off. Ever.,ham
"Sorry, I'll call later",ham
Are you going to write ccna exam this week??,ham
"Perhaps * is much easy give your account identification, so i will tomorrow at UNI",ham
"Dear relieved of westonzoyland, all going to plan this end too!",ham
Not sure I have the stomach for it ...,ham
What Today-sunday..sunday is holiday..so no work..,ham
Anything lor. Juz both of us lor.,ham
But if she.s drinkin i'm ok.,ham
And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,ham
His frens go then he in lor. Not alone wif my mum n sis lor.,ham
Wish u many many returns of the day.. Happy birthday vikky..,ham
Also hi wesley how've you been,ham
Hi dear we saw dear. We both are happy. Where you my battery is low,ham
Wait  &lt;#&gt;  min..,ham
I'm e person who's doing e sms survey...,ham
I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,ham
Kothi print out marandratha.,ham
645,ham
Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.,ham
No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),ham
Yeah sure I'll leave in a min,ham
U 2.,ham
"\Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx\""""",ham
For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham
I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,ham
Great. So should i send you my account number.,ham
No need to buy lunch for me.. I eat maggi mee..,ham
K come to nordstrom when you're done,ham
"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",ham
"Nah man, my car is meant to be crammed full of people",ham
Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night,ham
If you're thinking of lifting me one then no.,ham
Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,ham
Jus finished avatar nigro,ham
ÌÏ neva tell me how i noe... I'm not at home in da aft wat...,ham
I want to see your pretty pussy...,ham
Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,ham
Anything lor. Juz both of us lor.,ham
Aiyar sorry lor forgot 2 tell u...,ham
will you like to be spoiled? :),ham
Moji just informed me that you saved our lives. Thanks.,ham
And by when you're done I mean now,ham
"Haha awesome, I might need to take you up on that, what you doin tonight?",ham
Good Morning plz call me sir,ham
I'm on da bus going home...,ham
My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,ham
University of southern california.,ham
I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,ham
"Will do, you gonna be at blake's all night? I might be able to get out of here a little early",ham
She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are  &lt;#&gt;  and up,ham
Tell rob to mack his gf in the theater,ham
Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,ham
I come n pick Ì_ up... Come out immediately aft ur lesson...,ham
1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),ham
Tell me pa. How is pain de.,ham
"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",ham
"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala.",ham
"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",ham
Omg Joanna is freaking me out. She's looked thru all my friends to find photos of me. And then she's asking about stuff on my MySpace which I haven't even logged on in like a year. :/,ham
Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,ham
Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you,ham
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,ham
Hmmm.still we dont have opener?,ham
"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",ham
U still going to the mall?,ham
I will lick up every drop :) are you ready to use your mouth as well?,ham
He says hi and to get your ass back to south tampa (preferably at a kegger),ham
Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up,ham
"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.",ham
Whom you waited for yesterday,ham
Tiwary to rcb.battle between bang and kochi.,ham
Still i have not checked it da. . .,ham
"\CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDåÕS LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.\""""",ham
Not from this campus. Are you in the library?,ham
I'm done oredi...,ham
I told her I had a Dr appt next week. She thinks I'm gonna die. I told her its just a check. Nothing to be worried about. But she didn't listen.,ham
Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,ham
You said to me before i went back to bed that you can't sleep for anything.,ham
I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,ham
K..k...from tomorrow onwards started ah?,ham
"Kate jackson rec center before 7ish, right?",ham
"As usual..iam fine, happy &amp; doing well..:)",ham
ITS A LAPTOP TAKE IT WITH YOU.,ham
aathi..where are you dear..,ham
1 in cbe. 2 in chennai.,ham
"Well, i'm gonna finish my bath now. Have a good...fine night.",ham
"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",ham
"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care.",ham
Dad went out oredi...,ham
You still at grand prix?,ham
Oh god. I'm gonna Google nearby cliffs now.,ham
Yes i thought so. Thanks.,ham
No messages on her phone. I'm holding it now,ham
Just sleeping..and surfing,ham
* Thought I didn't see you.,ham
"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den...",ham
"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea",ham
I think i am disturbing her da,ham
Ok. There may be a free gym about.,ham
"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!",ham
"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*",ham
Thats cool. i liked your photos. You are very sexy!,ham
U ned to convince him tht its not possible witot hurting his feeling its the main,ham
Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,ham
"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",ham
Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.,ham
Happy new year to u too!,ham
"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....",ham
I was at bugis juz now wat... But now i'm walking home oredi... ÌÏ so late then reply... I oso saw a top dat i like but din buy... Where r Ì_ now?,ham
"sure, but make sure he knows we ain't smokin yet",ham
twenty past five he said will this train have been to durham already or not coz i am in a reserved seat,ham
Hi good mornin.. Thanku wish u d same..,ham
Lol please do. Actually send a pic of yourself right now. I wanna see. Pose with a comb and hair dryer or something.,ham
"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola",ham
"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",ham
Hope you are having a good week. Just checking in,ham
"Nothing really, just making sure everybody's up to speed",ham
"Ok., is any problem to u frm him? Wats matter?",ham
Yup no more already... Thanx 4 printing n handing it up.,ham
"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",ham
Oh dang! I didn't mean o send that to you! Lol!,ham
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",ham
"Yeah, don't go to bed, I'll be back before midnight",ham
O. Well uv causes mutations. Sunscreen is like essential thesedays,ham
Haha... Really oh no... How? Then will they deduct your lesson tmr?,ham
Can not use foreign stamps in this country.,ham
Were gonna go get some tacos,ham
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,ham
How are you doing. How's the queen. Are you going for the royal wedding,ham
"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",ham
Mm you ask him to come its enough :-),ham
I dont know why she.s not getting your messages,ham
Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,ham
"Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss.",ham
I not at home now lei...,ham
"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",ham
"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",ham
Ugh fuck it I'm resubbing to eve,ham
Hmm thinking lor...,ham
"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*",ham
Wait  &lt;#&gt;  min..,ham
When u wana see it then,ham
Would really appreciate if you call me. Just need someone to talk to.,ham
Sounds great! Are you home now?,ham
In work now. Going have in few min.,ham
Shall i send that exe to your mail id.,ham
I called but no one pick up e phone. I ask both of them already they said ok.,ham
If i not meeting Ì_ all rite then i'll go home lor. If Ì_ dun feel like comin it's ok.,ham
Hi my email address has changed now it is,ham
Ok lor. Msg me b4 u call.,ham
K..k.:)congratulation ..,ham
I was slept that time.you there?,ham
Package all your programs well,ham
Dare i ask... Any luck with sorting out the car?,ham
Glad to see your reply.,ham
East coast,ham
Ugh hopefully the asus ppl dont randomly do a reformat.,ham
Painful words- \I thought being Happy was the most toughest thing on Earth... But,ham
I emailed yifeng my part oredi.. Can Ì_ get it fr him..,ham
"I call you later, don't have network. If urgnt, sms me.",ham
"Yeah, probably here for a while",ham
"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?",ham
He's just gonna worry for nothing. And he won't give you money its no use.,ham
Only once then after ill obey all yours.,ham
Hello! Good week? Fancy a drink or something later?,ham
"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!",ham
U should make a fb list,ham
Apps class varaya elaya.,ham
"I've got  &lt;#&gt; , any way I could pick up?",ham
ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,ham
DO U WANT 2 MEET UP 2MORRO,ham
"This is one of the days you have a billion classes, right?",ham
Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,ham
5 nights...We nt staying at port step liao...Too ex,ham
This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age,ham
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",ham
I know complain num only..bettr directly go to bsnl offc nd apply for it..,ham
Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students,ham
"Sorry, I'll call later in meeting.",ham
Sos! Any amount i can get pls.,ham
"She was supposed to be but couldn't make it, she's still in town though",ham
Don't necessarily expect it to be done before you get back though because I'm just now headin out,ham
"Sorry, I'll call later",ham
Then why no one talking to me,ham
Wait . I will msg after  &lt;#&gt;  min.,ham
I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,ham
Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh.,ham
Where is that one day training:-),ham
That's necessarily respectful,ham
Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,ham
I have many dependents,ham
My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.,ham
Why you Dint come with us.,ham
"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word).",ham
Then we wait 4 u lor... No need 2 feel bad lar...,ham
Lol its ok I didn't remember til last nite,ham
From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,ham
That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,ham
Hi dis is yijue i would be happy to work wif Ì_ all for gek1510...,ham
What happened to our yo date?,ham
Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.,ham
Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?,ham
Ya that one is slow as poo,ham
At home by the way,ham
Ok lor...,ham
Correct. So how was work today,ham
"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",ham
"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",ham
"&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj",ham
I cant pick the phone right now. Pls send a message,ham
"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!",ham
Haiyoh... Maybe your hamster was jealous of million,ham
When you came to hostel.,ham
"\Happy valentines day\"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...""",ham
Can you talk with me..,ham
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,ham
Guess who spent all last night phasing in and out of the fourth dimension,ham
1's reach home call me.,ham
Do you think i can move  &lt;#&gt;  in a week,ham
"\Thinking of u ;) x\""""",ham
"Ya ok, then had dinner?",ham
"Aight that'll work, thanks",ham
"I guess you could be as good an excuse as any, lol.",ham
"sorry, no, have got few things to do. may be in pub later.",ham
Y Ì_ wan to go there? C doctor?,ham
I'm not coming home 4 dinner.,ham
Still in the area of the restaurant. Ill try to come back soon,ham
", im .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers,",ham
K.:)you are the only girl waiting in reception ah?,ham
"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?",ham
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,ham
"Yes, i'm small kid.. And boost is the secret of my energy..",ham
"\Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!\""""",ham
i dnt wnt to tlk wid u,ham
"Tee hee. Off to lecture, cheery bye bye.",ham
No. Did you multimedia message them or e-mail?,ham
Some of them told accenture is not confirm. Is it true.,ham
ARE YOU IN TOWN? THIS IS V. IMPORTANT,ham
Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,ham
"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",ham
I'll text you when I drop x off,ham
Did you stitch his trouser,ham
"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say...",ham
"Perhaps * is much easy give your account identification, so i will tomorrow at UNI",ham
"Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?",ham
"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da",ham
Same as kallis dismissial in 2nd test:-).,ham
Where at were hungry too,ham
"It's wylie, you in tampa or sarasota?",ham
For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham
Where are you ? What are you doing ? Are yuou working on getting the pc to your mom's ? Did you find a spot that it would work ? I need you,ham
Nothing just getting msgs by dis name wit different no's..,ham
Tomarrow final hearing on my laptop case so i cant.,ham
Can you plz tell me the ans. BSLVYL sent via fullonsms.com,ham
Should i send you naughty pix? :),ham
Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(,ham
They r giving a second chance to rahul dengra.,ham
Ok good then i later come find Ì_... C lucky i told Ì_ to go earlier... Later pple take finish Ì_ no more again...,ham
"Wait, do you know if wesleys in town? I bet she does hella drugs!",ham
Lil fever:) now fine:),ham
Let me know when you've got the money so carlos can make the call,ham
"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",ham
Lol your always so convincing.,ham
I tot it's my group mate... Lucky i havent reply... Wat time do Ì_ need to leave...,ham
At the funeral home with Audrey and dad,ham
Thanks love. But am i doing torch or bold.,ham
Huh so fast... Dat means u havent finished painting?,ham
A guy who gets used but is too dumb to realize it.,ham
Gud ni8 dear..slp well..take care..swt dreams..Muah..,ham
So i asked how's anthony. Dad. And your bf,ham
Can u look 4 me in da lib i got stuff havent finish yet.,ham
"K, I might come by tonight then if my class lets out early",ham
Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .,ham
I have a sore throat. It's scratches when I talk,ham
Jokin only lar... :-) depends on which phone my father can get lor...,ham
If you have belive me. Come to my home.,ham
No. Yes please. Been swimming?,ham
Have your lunch and come quickly and open the door:),ham
Yeah I can still give you a ride,ham
Two fundamentals of cool life: \Walk,ham
